id,x,y,w,age
U0000,1.792,0.746,A,73
U0001,0.526,0.996,A,32
U0002,11.6,9.376,D,50
U0003,1.287,1.962,A,28
U0004,10.472,10.158,D,57
U0005,7.425,6.733,C,34
U0006,11.614,9.481,D,78
U0007,3.137,-0.21,A,57
U0008,2.55,-0.24,A,62
U0009,7.633,11.119,D,52
U0010,3.249,4.384,B,59
U0011,4.004,3.349,B,59
U0012,0.864,0.803,A,18
U0013,6.68,6.602,C,27
U0014,6.006,7.706,C,58
U0015,9.058,11.121,D,39
U0016,10.188,9.828,D,37
U0017,9.802,10.718,D,49
U0018,11.236,9.56,D,24
U0019,10.579,9.956,D,33
U0020,6.713,6.999,C,36
U0021,7.54,6.389,C,35
U0022,10.334,9.85,D,22
U0023,1.402,1.103,A,73
U0024,8.644,10.439,D,41
U0025,7.99,6.118,C,67
U0026,7.288,8.492,C,37
U0027,6.984,6.536,C,25
U0028,6.823,7.255,C,20
U0029,4.66,3.298,B,73
U0030,2.65,5.519,B,36
U0031,0.917,1.408,A,49
U0032,9.695,10.122,D,44
U0033,0.668,0.551,A,48
U0034,3.787,3.96,B,
U0035,7.328,6.242,C,33
U0036,8.137,6.849,C,46
U0037,4.854,2.935,B,37
U0038,10.195,9.495,D,31
U0039,5.831,7.42,C,60
U0040,9.904,9.963,D,23
U0041,1.837,1.545,A,23
U0042,1.434,1.065,A,28
U0043,11.71,9.141,D,
U0044,0.934,1.623,A,63
U0045,-0.585,1.215,A,43
U0046,-0.634,1.298,A,49
U0047,12.729,8.144,D,62
U0048,2.055,0.551,A,37
U0049,1.437,0.659,A,38
U0050,3.852,4.483,B,50
U0051,1.161,1.526,A,21
U0052,1.054,0.493,A,47
U0053,1.43,1.79,A,26
U0054,4.929,7.835,C,40
U0055,9.4,10.159,D,79
U0056,3.7,3.94,B,68
U0057,4.846,3.809,B,34
U0058,9.342,10.101,D,55
U0059,10.781,9.781,D,65
U0060,9.661,9.942,D,32
U0061,0.101,1.412,A,19
U0062,6.512,7.252,C,46
U0063,7.928,7.437,C,44
U0064,2.656,3.989,B,38
U0065,8.94,9.706,D,73
U0066,7.152,8.262,C,20
U0067,4.882,4.713,B,55
U0068,6.126,6.311,C,73
U0069,1.758,0.728,A,50
U0070,5.321,3.259,B,20
U0071,5.778,7.255,C,20
U0072,4.375,4.149,B,72
U0073,0.702,0.075,A,31
U0074,7.397,6.504,C,46
U0075,1.285,1.554,A,57
U0076,6.28,7.34,C,54
U0077,10.665,9.94,D,36
U0078,8.304,5.835,C,49
U0079,1.556,0.384,A,45
U0080,3.862,4.067,B,69
U0081,6.664,6.473,C,74
U0082,7.964,6.304,C,69
U0083,1.182,1.141,A,80
U0084,8.771,6.376,C,18
U0085,9.788,9.055,D,44
U0086,1.583,0.982,A,77
U0087,4.921,3.942,B,76
U0088,3.414,4.721,B,65
U0089,2.404,4.399,B,53
U0090,7.14,7.396,C,38
U0091,3.404,4.032,B,30
U0092,5.071,8.157,C,37
U0093,9.848,10.367,D,76
U0094,5.427,4.116,B,39
U0095,4.653,4.628,B,77
U0096,10.478,9.646,D,64
U0097,6.126,3.345,B,72
U0098,1.325,0.275,A,24
U0099,8.32,6.432,C,27
U0100,3.813,3.69,B,48
U0101,1.48,0.484,A,35
U0102,2.238,0.153,A,77
U0103,9.473,9.517,D,24
U0104,6.58,6.708,C,59
U0105,3.841,3.812,B,22
U0106,4.495,4.113,B,58
U0107,4.161,3.499,B,
U0108,10.284,9.869,D,62
U0109,9.077,10.889,D,63
U0110,2.97,4.497,B,51
U0111,0.029,1.72,A,62
U0112,5.362,8.763,C,28
U0113,4.346,8.119,C,72
U0114,-0.932,2.325,A,55
U0115,3.624,4.145,B,42
U0116,1.734,1.048,A,19
U0117,1.242,0.866,A,48
U0118,4.882,3.702,B,37
U0119,5.03,3.11,B,49
U0120,0.671,1.519,A,77
U0121,0.358,0.436,A,43
U0122,6.839,7.255,C,73
U0123,9.216,10.672,D,80
U0124,7.223,7.011,C,47
U0125,1.174,0.856,A,73
U0126,1.923,4.899,B,38
